partner_name,advertiser_id,status,category,commission_min,commission_max,lead_min,lead_max,epc,conversion_rate,approval_rate,payment_status,average_payment_time,fit_score,risk_level,priority,recommended_tarvyo24_page,recommendation,reason
Wolt DE,116591,amber,Mobile Pay As You Go,0,0,0,0,0.14,1.9103,100.00,amber,112,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.14; Bestätigung 100%
MAMALIEBE,116633,amber,Womenswear,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Grube DE,115555,amber,Sports Equipment,0,0,0,0,0.08,1.17994,76.48,amber,116,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 76.48%
Baltz EU,115753,green,Clothing,0,0,0,0,0.02,0.45368,68.75,green,95,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 68.75%
Banak DE,116921,amber,Furniture & Soft Furnishings,0,0,0,0,1.29,6.67593,71.88,amber,86,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.29; Bestätigung 71.88%
Klast DE,116923,amber,Furniture & Soft Furnishings,0,0,0,0,0.63,5.60071,96.30,amber,85,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.63; Bestätigung 96.3%
Tria Beauty EU,116963,amber,Health & Beauty,0,0,0,0,1.57,0.0393701,100.00,amber,188,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.57; Bestätigung 100%; Region FR
Juvia DE,117083,amber,Clothing,0,0,0,0,0.06,0.181401,70.21,amber,78,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 70.21%
Lelo DE,117141,amber,Erotic,0,0,0,0,0.15,2.47934,75.00,amber,61,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.15; Bestätigung 75%
ONBEST-Shop,115757,amber,Home & Garden,0,0,0,0,0.13,1.92432,93.98,amber,55,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.13; Bestätigung 93.98%
JV Möbel DE,115759,amber,Furniture & Soft Furnishings,0,0,0,0,0.44,0.704239,71.43,amber,72,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.44; Bestätigung 71.43%
NOBE DE,115915,amber,Health & Beauty,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Himmelhauch DE,121190,amber,Health & Beauty,0,0,0,0,0.13,3.16201,100.00,amber,45,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.13; Bestätigung 100%
Valege DE PRM,122344,amber,Lingerie,0,0,0,0,0.04,1.13636,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.04; Bestätigung 100%
Vulpes Goods DE,122398,amber,Health & Beauty,0,0,0,0,0.66,11.1469,87.50,amber,76,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.66; Bestätigung 87.5%
Flammlachsbrettl,122430,amber,Home & Garden,0,0,0,0,0.19,2.60099,100.00,amber,76,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.19; Bestätigung 100%
Helm Express DE,121690,amber,Automotive,0,0,0,0,0.09,0.940679,91.84,amber,111,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 91.84%
NMN Bio,120980,amber,Health & Beauty,0,0,0,0,0.24,3.16665,95.00,amber,43,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.24; Bestätigung 95%; Region GB
White Label by RoFa,121044,amber,Clothing,0,0,0,0,1.23,17.4892,78.79,amber,66,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.23; Bestätigung 78.79%
HISTORIA DE,122092,amber,Gifts & Flowers,0,0,0,0,0.04,1.96493,14.29,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.04; Bestätigung 14.29%
Heizbude DE,120477,amber,Home & Garden,0,0,0,0,0.24,1.27656,74.51,amber,79,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.24; Bestätigung 74.51%
Vitalized DACH,120581,amber,Health & Beauty,0,0,0,0,0.24,3.89881,100.00,amber,43,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.24; Bestätigung 100%
Swiss Chocolate Club DE,119393,amber,FMCG,0,0,0,0,0.04,1.22024,66.67,amber,86,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.04; Bestätigung 66.67%
Olivia von Halle,101469,amber,Womenswear,0,0,0,0,1.11,1.55793,96.77,amber,49,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.11; Bestätigung 96.77%; Region US
JOOLA DE,101601,amber,Sports Equipment,0,0,0,0,0.36,9.64241,91.40,amber,75,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.36; Bestätigung 91.4%
GoBusi,113964,amber,Business Services (B2B),0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%; Region ES
Bassetti DE,99313,amber,Home & Garden,0,0,0,0,2.00,12.7797,100.00,amber,53,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 2; Bestätigung 100%
Flaschenpost Gin DE,99657,green,"Wine, Spirits & Tobacco",0,0,0,0,0.02,1.33408,75.00,green,33,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 75%
Clasen Organic Foods DE,111528,amber,FMCG,0,0,0,0,0.02,0.285564,38.89,amber,104,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.02; Bestätigung 38.89%
Kuishi,111020,amber,Home & Garden,0,0,0,0,0.22,5.3679,95.58,amber,65,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.22; Bestätigung 95.58%; Region GB
Kassis Geschenkartikel DE,112806,amber,Gifts & Flowers,0,0,0,0,0.17,6.73688,99.35,amber,87,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.17; Bestätigung 99.35%
KS Cycling DE,54779,amber,Sports Equipment,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Planet-Deluxe DE,55101,amber,Clothing Accessories,0,0,0,0,0.03,1.41336,100.00,amber,94,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.03; Bestätigung 100%
Linguation DE,55905,amber,Business Services (B2B),0,0,0,0,0.77,16.9545,100.00,amber,79,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.77; Bestätigung 100%
DORTEX DE,53591,amber,DIY,0,0,0,0,0.17,3.16401,92.94,amber,96,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.17; Bestätigung 92.94%
Black Leaf DE,53809,amber,"Wine, Spirits & Tobacco",0,0,0,0,0.23,5.82142,94.16,amber,119,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.23; Bestätigung 94.16%
PAXSON DE,56895,amber,Sports Equipment,0,0,0,0,0.05,1.04262,69.44,amber,44,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.05; Bestätigung 69.44%
Vonmählen DE,56961,green,Electronic Accessories,0,0,0,0,0.06,1.08264,51.41,green,62,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.06; Bestätigung 51.41%
VidaXL DE,57681,amber,Home & Garden,0,0,0,0,0.43,3.3341,94.44,amber,86,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.43; Bestätigung 94.44%
Geekbuying DE,57897,green,Computers,0,0,0,0,0.52,3.66442,93.10,green,58,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.52; Bestätigung 93.1%
Gemax DE,59747,amber,DIY,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
Tefal DE,31107,amber,Home & Garden,0,0,0,0,0.20,3.62838,91.25,amber,122,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.2; Bestätigung 91.25%
Netski DE,44527,amber,Sports Equipment,0,0,0,0,0.02,1.64647,100.00,amber,96,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 100%
PicturePeople DE,39494,amber,Photography,0,0,0,0,0.05,1.63608,100.00,amber,63,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.05; Bestätigung 100%
noblechairs EUR,39624,amber,Furniture & Soft Furnishings,0,0,0,0,0.21,1.14924,52.34,amber,161,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.21; Bestätigung 52.34%
Fahrradlagerverkauf DE,39644,green,Sports Equipment,0,0,0,0,0.25,1.40736,58.97,green,57,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.25; Bestätigung 58.97%
Just Russel DE,39212,amber,Pets & Pet Care,0,0,0,0,0.45,4.8565,38.00,amber,22,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.45; Bestätigung 38%
Readly DE,37764,amber,Books & Subscriptions,0,0,0,0,0.24,2.49317,17.48,amber,90,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.24; Bestätigung 17.48%
GreenKitchen DE,42480,amber,Home & Garden,0,0,0,0,0.24,1.06647,100.00,amber,94,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.24; Bestätigung 100%
Home Deluxe DE,43199,amber,Home & Garden,0,0,0,0,0.40,1.9471,47.17,amber,89,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.4; Bestätigung 47.17%
Chamäleon Berlin,43313,amber,Tickets,0,0,0,0,0.14,2.17239,100.00,amber,67,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.14; Bestätigung 100%
LÄSSIG DE,40520,amber,Baby & Toddler,0,0,0,0,0.39,9.80869,100.00,amber,70,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.39; Bestätigung 100%
Zurbrüggen DE,41152,amber,Furniture & Soft Furnishings,0,0,0,0,1.12,6.86939,95.26,amber,77,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.12; Bestätigung 95.26%
Poolwonder DE,44061,amber,Home & Garden,0,0,0,0,1.74,11.0646,100.00,amber,44,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.74; Bestätigung 100%
MADARA DE & AT,41504,green,Health & Beauty,0,0,0,0,0.11,2.52205,100.00,green,80,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.11; Bestätigung 100%
Billard-lissy DE,41544,amber,Home & Garden,0,0,0,0,0.06,2.45479,83.33,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.06; Bestätigung 83.33%
365Rider DE,30677,amber,Sportswear,0,0,0,0,0.13,3.0244,78.78,amber,46,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.13; Bestätigung 78.78%
Helly Hansen Sportswear DE,30735,amber,Clothing,0,0,0,0,0.19,1.29492,75.36,amber,86,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.19; Bestätigung 75.36%
Osiander DE,30799,amber,Books & Subscriptions,0,0,0,0,0.11,4.49191,89.17,amber,112,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.11; Bestätigung 89.17%
polo-sylt DE,30971,green,Clothing,0,0,0,0,0.19,3.98713,86.21,green,37,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.19; Bestätigung 86.21%
JOONE PARIS DE,50795,amber,Baby & Toddler,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Banana Beauty DE,35627,amber,Health & Beauty,0,0,0,0,0.05,2.31588,30.89,amber,230,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.05; Bestätigung 30.89%
Lampenundleuchten - DE,25836,amber,Home & Garden,0,0,0,0,0.03,0.597015,88.14,amber,165,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.03; Bestätigung 88.14%
White Stuff DE,31744,amber,Clothing,0,0,0,0,0.09,1.67115,71.37,amber,114,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 71.37%
Gartenzaun24 DE,31910,amber,Home & Garden,0,0,0,0,0.37,1.46766,97.22,amber,63,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.37; Bestätigung 97.22%
Stance DACH,31966,amber,Clothing,0,0,0,0,0.28,7.29106,100.00,amber,84,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.28; Bestätigung 100%
Stefanel DE,37018,amber,Clothing,0,0,0,0,0.37,5.35828,81.71,amber,139,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.37; Bestätigung 81.71%
Beurer DE,64314,green,Health & Beauty,0,0,0,0,0.09,1.51489,93.62,green,44,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 93.62%
Spitzbub.de DE,60779,amber,Clothing,0,0,0,0,0.59,12.5794,98.29,amber,100,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.59; Bestätigung 98.29%
Velo-Store DE,65924,amber,Sports Equipment,0,0,0,0,0.15,2.81888,81.02,amber,97,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.15; Bestätigung 81.02%
shifter DE,16937,amber,Computers,1,1,0,0,0.05,1.11815,77.03,amber,50,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.05; Bestätigung 77.03%; Provision bis 1%
Der Feinschmecker Shop DE,42164,amber,FMCG,0,0,0,0,0.08,1.7983,94.06,amber,72,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 94.06%
Fanttik (DE),82091,amber,Automotive,0,0,0,0,0.61,7.20839,100.00,amber,68,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.61; Bestätigung 100%
The plant party DE,46701,amber,Health & Beauty,0,0,0,0,0.27,5.30705,100.00,amber,45,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.27; Bestätigung 100%
Deutsches Spionagemuseum DE,34053,amber,Tourism & Attractions,0,0,0,0,0.99,18.0571,99.68,amber,38,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.99; Bestätigung 99.68%
RECOACTIV,125738,amber,Pets & Pet Care,0,0,0,0,3.24,75,100.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 3.24; Bestätigung 100%
More at Home DE,121352,amber,Home & Garden,0,0,0,0,0.10,0.244067,27.03,amber,48,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.1; Bestätigung 27.03%
Pianelli DE,12804,green,Music & DVD,7,7,0,0,0.12,0.686724,86.24,green,102,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.12; Bestätigung 86.24%; Provision bis 7%
EASYCLEAN,52349,amber,Home & Garden,0,0,0,0,0.07,4.12722,23.68,amber,54,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.07; Bestätigung 23.68%
minicabit,6170,amber,Tourism & Attractions,0,0,1,3,0.17,9.16574,100.00,amber,73,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.17; Bestätigung 100%; Lead bis 3€; Region GB
EquusVitalis DE,79462,amber,Pets & Pet Care,0,0,0,0,0.14,3.16419,98.15,amber,94,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.14; Bestätigung 98.15%
bugatti DE/AT,14414,green,Clothing,5,13,0,0,0.20,2.39616,74.10,green,78,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.2; Bestätigung 74.1%; Provision bis 13%
Body Attack DE,14328,green,Sports Equipment,5,10,0,0,0.70,9.05454,100.00,green,32,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.7; Bestätigung 100%; Provision bis 10%
Healthii DE,115933,amber,Pharmaceuticals,0,0,0,0,0.21,5.97064,100.00,amber,75,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.21; Bestätigung 100%
Desktronic DE,99887,amber,Office Supplies,0,0,0,0,1.18,5.75994,61.97,amber,28,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 1.18; Bestätigung 61.97%
360GradFitness DE,113554,amber,Sports Equipment,0,0,0,0,0.09,3.08531,100.00,amber,50,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 100%
DeLSt DE,119967,amber,"Education, Training & Recruitment",0,0,0,0,0.16,1.16041,85.71,amber,58,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.16; Bestätigung 85.71%
Bagsmart DE,122768,amber,Clothing Accessories,0,0,0,0,0.15,4.79141,98.25,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.15; Bestätigung 98.25%
Yours Clothing DE,19276,amber,Womenswear,1,5,0,0,0.26,5.1724,59.80,amber,95,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.26; Bestätigung 59.8%; Provision bis 5%
Vino - IT,25367,amber,"Wine, Spirits & Tobacco",0,0,0,0,0.54,11.7841,94.84,amber,59,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.54; Bestätigung 94.84%; Region IT
Handicraft DE,106519,green,Clothing,0,0,0,0,0.01,0.311328,93.62,green,57,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.01; Bestätigung 93.62%
Hapag-LLoyd Cruises DACH,87095,amber,Cruises/Ferries,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
ATP Autoteile DE,20228,green,Automotive,0,0,0,0,0.08,2.96049,93.45,green,62,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 93.45%
Jicki DE,30249,green,"Education, Training & Recruitment",0,0,0,0,0.10,3.07704,93.13,green,38,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.1; Bestätigung 93.13%
Robinson.com DE,14910,amber,Hotels & Accommodation,4,4,0,0,0.17,1.54616,84.87,amber,176,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.17; Bestätigung 84.87%; Provision bis 4%
Deruiz DE,66408,amber,Green (Eco friendly),0,0,0,0,1.44,1.817,94.17,amber,66,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 1.44; Bestätigung 94.17%
Survival Tacgear AT,87567,amber,Sportswear,0,0,0,0,0.20,6.80685,79.61,amber,51,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.2; Bestätigung 79.61%
Muenkel.eu DE,16608,green,Home & Garden,3,3,0,0,0.10,0.337088,79.14,green,71,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.1; Bestätigung 79.14%; Provision bis 3%
reifen DE,10719,amber,Automotive,4,4,0.16,0.16,0.21,11.7925,64.48,amber,54,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.21; Bestätigung 64.48%; Provision bis 4%; Lead bis 0.16€
Meisterbetten,31337,amber,Furniture & Soft Furnishings,0,0,0,0,0.22,0.968469,66.38,amber,101,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.22; Bestätigung 66.38%
Ziaja Shop DE,111778,green,Health & Beauty,0,0,0,0,0.16,6.63805,89.58,green,47,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.16; Bestätigung 89.58%
Akind DE,121080,amber,Jewellery,0,0,0,0,0.02,0.0749625,66.06,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.02; Bestätigung 66.06%
sigikid DE,19670,green,Baby & Toddler,5,5,0,0,0.12,5.75642,62.12,green,30,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 62.12%; Provision bis 5%
Amoonic - precious by nature DE,105169,amber,Jewellery,0,0,0,0,0.21,2.32583,51.96,amber,59,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.21; Bestätigung 51.96%
garwoh DE,13819,green,Home & Garden,6,6,0,0,0.09,2.30221,68.18,green,32,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 68.18%; Provision bis 6%
Lunzo DE,69786,amber,Home & Garden,0,0,0,0,0.00,0.410041,67.50,amber,76,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 67.5%
Peter Hahn DE - Hochwertige Damenmode,14356,amber,Clothing,10,10,0,0,0.21,1.88946,67.45,amber,98,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.21; Bestätigung 67.45%; Provision bis 10%
LILYSILK DE,73630,green,Clothing,0,0,0,0,0.37,1.46394,60.30,green,61,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.37; Bestätigung 60.3%
PAPATYA DE,72145,amber,Furniture & Soft Furnishings,0,0,0,0,0.09,2.54808,33.33,amber,58,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.09; Bestätigung 33.33%
Zapatos OBI DE,115595,amber,Shoes,0,0,0,0,0.19,7.26601,33.33,amber,78,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.19; Bestätigung 33.33%
Yoozy Fashion,125968,amber,Clothing,0,0,0,0,0.04,0.531915,33.33,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.04; Bestätigung 33.33%; Region NL
Boxerman DE,11469,green,Lingerie,8,8,0,0,0.57,7.9665,96.70,green,28,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.57; Bestätigung 96.7%; Provision bis 8%
Zero DE,19924,green,Clothing,0,0,0,0,0.31,0.150838,8.12,green,71,0.0,-,D,-,nicht bewerben – thematisch unpassend,EPC 0.31; Bestätigung 8.12%
Gartenmoebel.de,102693,amber,Furniture & Soft Furnishings,0,0,0,0,0.12,0.00861475,1.69,amber,84,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.12; Bestätigung 1.69%
Kess Berlin DE,34681,green,Health & Beauty,0,0,0,0,0.08,0.424875,42.76,green,83,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.08; Bestätigung 42.76%
Neu.de,11787,amber,Dating,40,40,0,5,0.00,,0.00,amber,61,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%; Provision bis 40%; Lead bis 5€
Glore DE,13684,green,Clothing,10,10,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%; Provision bis 10%
LOVEPOINT DE - Privat program,14130,green,Dating,0,0,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
top12 DE,14776,amber,Department Stores,7,7,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%; Provision bis 7%
spadeluxe DE,15256,green,Home & Garden,5,5,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%; Provision bis 5%
visunext DE,15080,green,Electronic Superstore,3,3,0,0,0.00,,0.00,green,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%; Provision bis 3%
Sembo DE,122072,amber,Hotels & Accommodation,0,0,0,0,0.15,0.954011,80.00,amber,32,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.15; Bestätigung 80%
wyldr DE,26985,amber,Green (Eco friendly),0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Blizzard Gear Store DE,29745,amber,Clothing,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Goldgarant DE,74850,amber,Jewellery,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); Bestätigung 0%
Carshine Autopflege DE,78152,amber,Automotive,0,0,0,0,0.00,,0.00,amber,null,0.0,-,D,-,nicht bewerben – thematisch unpassend,Bestätigung 0%
GREEN SHIRTS DE,19786,green,Clothing,12,12,0,0,0.05,1.00197,100.00,green,62,0.0,-,D,-,nicht bewerben – thematisch unpassend,Ausschlusskriterium (Sortiment/Branche); EPC 0.05; Bestätigung 100%; Provision bis 12%
